file_path,source_folder,expected_label,predicted_label,predicted_label_ko,is_correct,confidence,confidence_level,classification_margin,is_borderline,second_candidate,second_score,error_code,message,ratio_face_height_px,ratio_face_width_px,ratio_face_length_width_ratio,ratio_forehead_width_px,ratio_cheekbone_width_px,ratio_jaw_width_px,ratio_forehead_to_cheekbone_ratio,ratio_jaw_to_cheekbone_ratio,ratio_jaw_angle_width_px,ratio_jaw_angle_width_to_cheekbone_ratio,ratio_chin_to_jaw_depth_px,ratio_chin_to_jaw_depth_to_face_height_ratio,ratio_lower_face_height_px,ratio_lower_face_height_to_face_height_ratio,ratio_eye_outer_width_px,ratio_eye_inner_distance_px,ratio_eye_outer_width_to_face_width_ratio,ratio_eye_inner_distance_to_face_width_ratio,ratio_lower_jaw_width_px,ratio_lower_jaw_width_to_cheekbone_ratio,ratio_jaw_taper_ratio,ratio_forehead_to_jaw_ratio,ratio_forehead_to_lower_jaw_ratio,ratio_jaw_to_face_width_ratio,ratio_lower_jaw_to_face_width_ratio,ratio_chin_sharpness_ratio,ratio_nose_length_px,ratio_nose_length_to_face_height_ratio,ratio_mouth_width_px,ratio_mouth_height_px,ratio_mouth_width_to_face_width_ratio,ratio_nose_center_offset_x_px,ratio_midface_height_ratio,ratio_philtrum_to_chin_ratio,ratio_temple_to_cheekbone_ratio,ratio_gonial_angle_proxy,ratio_jawline_curvature_index,ratio_cheekbone_peak_y_ratio,ratio_jaw_slope_angle,ratio_intercanthal_to_face_width,ratio_facial_asymmetry_index,score_round,score_oval,score_long,score_square,score_heart,quality_quality_score,quality_quality_status,quality_is_acceptable,quality_frontal_score,quality_eye_level_score,quality_face_center_offset_x_ratio,quality_eye_level_diff_to_face_width_ratio
sampleimg/Heart/heart (34).jpg,Heart,heart,heart,하트형,True,0.604,high,0.372,False,long,0.232,,,200.0,164.0,1.2195,123.0,164.0,125.02,0.75,0.7623,125.02,0.7623,50.0,0.25,81.0,0.405,110.0,41.0,0.6708,0.25,88.02,0.5367,0.7041,0.9839,1.3974,0.7623,0.5367,0.568,57.14,0.2857,57.01,0.0,0.3476,17.0,0.3102,0.29,0.8903,141.17,0.1171,0.385,145.39,0.25,0.1585,0.0015,0.1615,0.232,0.001,0.604,0.451,warning,True,0.1358,0.9237,0.1037,0.0061
sampleimg/Heart/heart (53).jpg,Heart,heart,long,긴형,False,0.3628,low,0.0017,True,oval,0.3611,,,307.42,246.4,1.2476,175.35,246.4,196.25,0.7116,0.7965,196.25,0.7965,67.0,0.2179,141.0,0.4587,159.31,59.08,0.6466,0.2398,137.18,0.5567,0.699,0.8935,1.2782,0.7965,0.5567,0.4884,77.0,0.2505,114.11,20.0,0.4631,11.0,0.2831,0.2076,0.8458,138.4,0.1274,0.4066,143.41,0.2398,0.0893,0.0079,0.3611,0.3628,0.0159,0.2524,0.574,warning,True,0.6283,0.4925,0.0446,0.0406
sampleimg/Heart/heart (829).jpg,Heart,heart,heart,하트형,True,0.4313,medium,0.0665,False,oval,0.3648,,,448.0,384.02,1.1666,285.02,384.02,292.03,0.7422,0.7604,292.03,0.7604,96.0,0.2143,189.0,0.4219,243.02,94.0,0.6328,0.2448,203.04,0.5287,0.6953,0.976,1.4037,0.7604,0.5287,0.4728,123.02,0.2746,148.08,16.0,0.3856,7.0,0.3058,0.2341,0.888,138.27,0.113,0.4286,147.58,0.2448,0.026,0.1702,0.3648,0.0109,0.0228,0.4313,0.87,good,True,0.8483,0.9025,0.0182,0.0078
sampleimg/Heart/heart (736).jpg,Heart,heart,heart,하트형,True,0.7464,high,0.6348,False,oval,0.1116,,,165.51,139.18,1.1892,103.12,139.18,112.07,0.7409,0.8052,112.07,0.8052,41.0,0.2477,72.0,0.435,95.01,38.01,0.6826,0.2731,79.03,0.5678,0.7051,0.9201,1.3049,0.8052,0.5678,0.5188,45.0,0.2719,61.13,11.05,0.4392,9.5,0.2963,0.216,0.8776,135.4,0.1352,0.3686,143.91,0.2731,0.1365,0.0107,0.1116,0.0515,0.0797,0.7464,0.6225,warning,True,0.4308,0.91,0.0683,0.0072
sampleimg/Heart/heart (594).jpg,Heart,heart,heart,하트형,True,0.4442,medium,0.0912,False,oval,0.353,,,391.02,336.38,1.1624,234.31,336.38,272.31,0.6966,0.8095,272.31,0.8095,104.5,0.2672,160.0,0.4092,221.58,89.56,0.6587,0.2662,185.17,0.5505,0.68,0.8604,1.2653,0.8095,0.5505,0.5643,112.0,0.2864,159.01,28.02,0.4727,2.0,0.3043,0.1679,0.8305,139.09,0.1195,0.3811,143.82,0.2662,0.0119,0.058,0.353,0.1293,0.0156,0.4442,0.7325,good,True,0.9508,0.405,0.0059,0.0476
sampleimg/Heart/heart (751).jpg,Heart,heart,heart,하트형,True,0.3533,medium,0.0579,False,round,0.2955,,,114.0,97.05,1.1747,72.01,97.05,77.1,0.742,0.7945,77.1,0.7945,27.0,0.2368,47.0,0.4123,64.03,24.0,0.6598,0.2473,54.15,0.558,0.7023,0.9339,1.3298,0.7945,0.558,0.4986,33.14,0.2907,40.05,0.0,0.4127,13.5,0.3159,0.2634,0.8759,143.88,0.1233,0.3772,136.91,0.2473,0.2164,0.2955,0.2253,0.0569,0.0691,0.3533,0.297,low,False,0.0,0.7425,0.1391,0.0206
sampleimg/Heart/heart (15).jpg,Heart,heart,heart,하트형,True,0.3786,low,0.0369,True,oval,0.3417,,,143.22,123.26,1.162,91.14,123.26,97.25,0.7394,0.789,97.25,0.789,37.5,0.2618,51.0,0.3561,81.1,31.06,0.6579,0.252,65.19,0.5289,0.6703,0.9371,1.398,0.789,0.5289,0.5752,46.17,0.3224,57.14,6.0,0.4636,8.5,0.3358,0.1135,0.8699,139.98,0.109,0.391,147.8,0.252,0.073,0.1884,0.3417,0.07,0.0213,0.3786,0.4925,warning,True,0.425,0.5938,0.069,0.0325
sampleimg/Heart/heart (727).jpg,Heart,heart,oval,계란형 또는 일반형,False,0.4499,medium,0.054,False,heart,0.3959,,,540.67,462.68,1.1686,331.73,462.68,358.36,0.717,0.7745,358.36,0.7745,118.0,0.2182,248.0,0.4587,292.49,117.21,0.6322,0.2533,252.2,0.5451,0.7038,0.9257,1.3154,0.7745,0.5451,0.4679,139.03,0.2571,188.02,37.05,0.4064,17.0,0.2906,0.2011,0.8553,139.34,0.1056,0.4513,147.7,0.2533,0.0865,0.1236,0.4499,0.0171,0.0136,0.3959,0.633,warning,True,0.6942,0.5413,0.0367,0.0367
sampleimg/Heart/heart (502).jpg,Heart,heart,heart,하트형,True,0.3725,medium,0.0935,False,oval,0.279,,,159.08,136.09,1.1689,101.08,136.09,108.17,0.7427,0.7948,108.17,0.7948,40.0,0.2514,63.0,0.396,91.14,36.01,0.6697,0.2646,76.11,0.5592,0.7036,0.9345,1.3282,0.7948,0.5592,0.5256,46.1,0.2898,51.0,0.0,0.3747,10.0,0.3146,0.2834,0.8749,142.59,0.1271,0.3646,138.14,0.2646,0.1029,0.1272,0.279,0.106,0.1153,0.3725,0.449,warning,True,0.3875,0.5413,0.0735,0.0367
sampleimg/Heart/heart (559).jpg,Heart,heart,oval,계란형 또는 일반형,False,0.4402,high,0.2276,False,heart,0.2126,,,161.05,134.03,1.2016,98.05,134.03,104.0,0.7315,0.776,104.0,0.776,36.5,0.2266,63.0,0.3912,86.05,33.06,0.642,0.2467,72.01,0.5372,0.6923,0.9427,1.3616,0.776,0.5372,0.5069,48.0,0.298,52.01,0.0,0.388,3.0,0.3229,0.2037,0.8732,138.05,0.1257,0.3974,145.08,0.2467,0.0448,0.1388,0.4402,0.1701,0.0383,0.2126,0.776,good,True,0.8133,0.72,0.0224,0.0224
